task,league,model_family
bracket,Combined,logreg_l2
bracket,Combined,logreg_l1
bracket,Combined,logreg_elastic
bracket,Combined,linear_svm
bracket,Combined,rbf_svm
bracket,Combined,poly_svm
bracket,Combined,decision_tree
bracket,Combined,random_forest
bracket,Combined,extra_trees
bracket,Combined,adaboost
bracket,Combined,grad_boost
bracket,Combined,xgb_style_hgb
bracket,Combined,knn
bracket,Combined,gaussian_nb
bracket,Combined,lda
bracket,Combined,qda
bracket,Combined,perceptron
bracket,Combined,mlp
bracket,Combined,xgboost
bracket,Combined,probit_proxy
bracket,Combined,autoencoder_proxy_mlp
bracket,MBB,logreg_l2
bracket,MBB,logreg_l1
bracket,MBB,logreg_elastic
bracket,MBB,linear_svm
bracket,MBB,rbf_svm
bracket,MBB,poly_svm
bracket,MBB,decision_tree
bracket,MBB,random_forest
bracket,MBB,extra_trees
bracket,MBB,adaboost
bracket,MBB,grad_boost
bracket,MBB,xgb_style_hgb
bracket,MBB,knn
bracket,MBB,gaussian_nb
bracket,MBB,lda
bracket,MBB,qda
bracket,MBB,perceptron
bracket,MBB,mlp
bracket,MBB,xgboost
bracket,MBB,probit_proxy
bracket,MBB,autoencoder_proxy_mlp
bracket,WBB,logreg_l2
bracket,WBB,logreg_l1
bracket,WBB,logreg_elastic
bracket,WBB,linear_svm
bracket,WBB,rbf_svm
bracket,WBB,poly_svm
bracket,WBB,decision_tree
bracket,WBB,random_forest
bracket,WBB,extra_trees
bracket,WBB,adaboost
bracket,WBB,grad_boost
bracket,WBB,xgb_style_hgb
bracket,WBB,knn
bracket,WBB,gaussian_nb
bracket,WBB,lda
bracket,WBB,qda
bracket,WBB,perceptron
bracket,WBB,mlp
bracket,WBB,xgboost
bracket,WBB,probit_proxy
bracket,WBB,autoencoder_proxy_mlp
