task,league,regime,model,auc,pr_auc,log_loss,brier,ece,precision_at_k,recall_at_k,split_id
selection,Combined,baseline,intercept_only,0.5,0.1878453038674033,0.4830838150384936,0.15255953993104396,0.0003069994751663252,0.1801470588235294,0.1801470588235294,
selection,Combined,baseline,elo_only,0.9999124649859944,0.999628107528494,0.02475804921341612,0.006058492474555901,0.015828095027303632,0.9852941176470589,0.9852941176470589,
selection,Combined,baseline,winpct_only,0.8071165966386555,0.46729237602672713,0.3967690671630437,0.12505175955426656,0.04682855104404696,0.5110294117647058,0.5110294117647058,
selection,MBB,baseline,intercept_only,0.5,0.18732782369146006,0.4824936553708345,0.15228846752393294,0.007235838683361168,0.17647058823529413,0.17647058823529413,
selection,MBB,baseline,elo_only,1.0,0.9999999999999998,0.03146447776418819,0.007591205084226359,0.02286447154870725,1.0,1.0,
selection,MBB,baseline,winpct_only,0.7884907776669989,0.45604503087458026,0.40640668485685816,0.1266915924666597,0.04282205992819669,0.5073529411764706,0.5073529411764706,
selection,WBB,baseline,intercept_only,0.5,0.1883656509695291,0.4841935587193365,0.1529877782430916,0.01018556521440761,0.17647058823529413,0.17647058823529413,
selection,WBB,baseline,elo_only,1.0,1.0,0.02986874076202462,0.007184758890643233,0.022041663108459543,1.0,1.0,
selection,WBB,baseline,winpct_only,0.8287931640232886,0.4864128626377094,0.3931375424062619,0.12484401754133156,0.0688934723659137,0.5073529411764706,0.5073529411764706,
bracket,Combined,baseline,elo_diff_only,0.7525894255036432,,0.5645056094114109,0.19079583197307765,0.08163755038866449,,,
bracket,MBB,baseline,elo_diff_only,0.7179906342505732,,0.5711412105045208,0.19383873516239963,0.06529448363670971,,,
bracket,WBB,baseline,elo_diff_only,0.7833946136478709,,0.5606179648293862,0.1888654948012071,0.10295050021208242,,,
selection,Combined,ablation,S1_winpct,0.7021896003751369,0.3845297050462047,0.46183355085870226,0.14396869955837435,0.04698811751652666,0.40441176470588236,0.40441176470588236,0.0
selection,Combined,ablation,S2_elo,0.9998436930130777,0.9993600961699074,0.036499246944240483,0.008984718729651734,0.02402592201819139,0.9852941176470589,0.9852941176470589,0.0
selection,Combined,ablation,S3_sos,0.9998436930130776,0.9993600961699074,0.036522383538657215,0.008988518912171008,0.024056653059903624,0.9852941176470589,0.9852941176470589,0.0
selection,Combined,ablation,S4_efficiency,0.999833923826395,0.999317645804942,0.03665641076119439,0.00906717103232357,0.022622536418121834,0.9852941176470589,0.9852941176470589,0.0
selection,Combined,ablation,S5_recency,0.9998371802219559,0.9993318361881718,0.03663533170272176,0.009054289680739725,0.022634240124022036,0.9852941176470589,0.9852941176470589,0.0
selection,Combined,ablation,S6_conference,0.9995701557859636,0.9982907259296677,0.03559743087096033,0.008868417249563044,0.01853575458608454,0.9705882352941176,0.9705882352941176,0.0
selection,Combined,ablation,S1_winpct,0.7088251561686623,0.3954459186857275,0.45095255407853235,0.14192165290072067,0.03057442973468365,0.3897058823529412,0.3897058823529412,1.0
selection,Combined,ablation,S2_elo,0.9998666059344092,0.9994536369828393,0.03452406287250553,0.008464430002312584,0.02254695671582338,0.9852941176470589,0.9852941176470589,1.0
