task,league,model_family,auc,pr_auc,log_loss,leakage_risk_score,risk_band
selection,Combined,logreg_l2,0.9999812424969988,0.9999190477279298,0.012439280932145504,65,high
selection,Combined,logreg_l1,0.999812424969988,0.9992009740732178,0.036467555875926316,65,high
selection,Combined,logreg_elastic,0.9996842486994798,0.998650915556365,0.04229104441178772,65,high
selection,Combined,linear_svm,0.9999624849939976,0.999837344259488,0.02027934200432596,65,high
selection,Combined,rbf_svm,0.9999093387354943,0.9996185735695352,0.010209743606010669,65,high
selection,Combined,poly_svm,0.9998655712284914,0.9994219641360531,0.0133120417042476,65,high
selection,Combined,decision_tree,1.0,1.0,0.0013965177183426227,65,high
selection,Combined,random_forest,0.9999468537414966,0.9997774635743749,0.03236824190391438,65,high
selection,Combined,extra_trees,0.9969362745098039,0.9862450717479964,0.11195550303577989,65,high
selection,Combined,adaboost,0.9999968737494997,0.9999865330747683,0.31590466345382445,65,high
selection,Combined,grad_boost,0.9999999999999999,0.9999999999999999,0.0024553805224032843,65,high
selection,Combined,xgb_style_hgb,,,,35,moderate
selection,Combined,knn,0.9894332733093236,0.9587544800823441,0.19420951087654637,35,moderate
selection,Combined,gaussian_nb,,,,35,moderate
selection,Combined,lda,,,,35,moderate
selection,Combined,qda,,,,35,moderate
selection,Combined,perceptron,0.9997498999599841,0.998975378681262,0.02052601251503976,65,high
selection,Combined,mlp,0.9999187174869948,0.9996489798179091,0.01756772191700833,65,high
selection,Combined,xgboost,0.9999968737494997,0.9999865330747683,0.002881033903527118,65,high
selection,Combined,probit_proxy,0.9998874549819928,0.9995224109798271,0.025047641090036994,65,high
selection,Combined,autoencoder_proxy_mlp,0.9999781162464987,0.9999050797916622,0.009648953883525286,65,high
selection,MBB,logreg_l2,1.0,1.0,0.01316097128106919,65,high
selection,MBB,logreg_l1,1.0,0.9999999999999998,0.11418590207663207,65,high
selection,MBB,logreg_elastic,0.999975074775673,0.9998934356351237,0.05272645798410967,65,high
selection,MBB,linear_svm,0.9998504486540379,0.9993487135437041,0.026224477024529954,65,high
selection,MBB,rbf_svm,0.9997881355932203,0.9991180013224144,0.016101704844617478,65,high
selection,MBB,poly_svm,0.9998255234297109,0.9992635236333202,0.015949671934718388,65,high
selection,MBB,decision_tree,1.0,1.0,0.0022773514412797475,65,high
selection,MBB,random_forest,1.0,1.0,0.04462104679684501,65,high
selection,MBB,extra_trees,0.9981804586241275,0.9921433275550319,0.12380238062504823,65,high
selection,MBB,adaboost,1.0,1.0,0.12844780874571576,65,high
selection,MBB,grad_boost,1.0,1.0,0.017830962296863512,65,high
selection,MBB,xgb_style_hgb,,,,35,moderate
selection,MBB,knn,0.9929212362911266,0.973010740824136,0.0980484878029048,35,moderate
selection,MBB,gaussian_nb,,,,35,moderate
selection,MBB,lda,,,,35,moderate
selection,MBB,qda,,,,35,moderate
selection,MBB,perceptron,0.9998878364905285,0.9995137442064014,0.021989523290629448,65,high
selection,MBB,mlp,1.0,0.9999999999999999,0.011028353426644615,65,high
selection,MBB,xgboost,1.0,1.0,0.004541888340945509,65,high
selection,MBB,probit_proxy,0.9999875373878365,0.999946328896522,0.028489325615123122,65,high
selection,MBB,autoencoder_proxy_mlp,0.9999875373878365,0.999946328896522,0.019979404341813133,65,high
selection,WBB,logreg_l2,0.999974904637623,0.9998922631525775,0.016154958208500776,65,high
selection,WBB,logreg_l1,1.0,1.0,0.028935006742610354,65,high
selection,WBB,logreg_elastic,1.0,1.0,0.028211013351095375,65,high
selection,WBB,linear_svm,1.0,1.0,0.027991023749769375,65,high
selection,WBB,rbf_svm,0.9999121662316803,0.9996269906495945,0.011266653442864412,65,high
selection,WBB,poly_svm,0.999924713912869,0.9996778987576178,0.01270704132334627,65,high
selection,WBB,decision_tree,1.0,1.0,2.2204460492503136e-16,65,high
selection,WBB,random_forest,1.0,0.9999999999999998,0.02795594321797849,65,high
selection,WBB,extra_trees,0.995332262597872,0.9785873348808927,0.1107570268970941,65,high
selection,WBB,adaboost,1.0,1.0000000000000002,0.3385556766060991,65,high
selection,WBB,grad_boost,1.0,1.0,0.015366423890983921,65,high
selection,WBB,xgb_style_hgb,,,,35,moderate
selection,WBB,knn,0.9937387070869304,0.9761203256628332,0.08792950926998482,35,moderate
selection,WBB,gaussian_nb,,,,35,moderate
selection,WBB,lda,,,,35,moderate
selection,WBB,qda,,,,35,moderate
