task,regime,league,model_family,n_train,n_val,best_params,auc,pr_auc,log_loss,brier,ece,precision_at_k,error
selection,pooled,Combined,logreg_l2,9790,1448,"{""clf__C"": 6.951927961775605}",0.9999812424969988,0.9999190477279298,0.012439280932145504,0.0029981700157993675,0.008228686534627473,0.9926470588235294,
selection,pooled,Combined,logreg_l1,9790,1448,"{""clf__C"": 0.06158482110660264}",0.999812424969988,0.9992009740732178,0.036467555875926316,0.008949100173116667,0.02547458487019993,0.9779411764705882,
selection,pooled,Combined,logreg_elastic,9790,1448,"{""clf__l1_ratio"": 0.9, ""clf__C"": 0.046415888336127774}",0.9996842486994798,0.998650915556365,0.04229104441178772,0.010462128098668543,0.02774755258497344,0.9705882352941176,
selection,pooled,Combined,linear_svm,9790,1448,"{""clf__C"": 6.951927961775605}",0.9999624849939976,0.999837344259488,0.02027934200432596,0.004862498850718468,0.014728702669230733,0.9926470588235294,
selection,pooled,Combined,rbf_svm,9790,1448,{},0.9999093387354943,0.9996185735695352,0.010209743606010669,0.0028332316488953635,0.003132933791576949,0.9926470588235294,
selection,pooled,Combined,poly_svm,9790,1448,{},0.9998655712284914,0.9994219641360531,0.0133120417042476,0.003454544967620512,0.005034496189689528,0.9889705882352942,
selection,pooled,Combined,decision_tree,9790,1448,"{""clf__min_samples_leaf"": 1, ""clf__max_depth"": 3}",1.0,1.0,0.0013965177183426227,0.0004405871593951695,0.0010298323087697455,1.0,
selection,pooled,Combined,random_forest,9790,1448,"{""clf__n_estimators"": 500, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": null}",0.9999468537414966,0.9997774635743749,0.03236824190391438,0.004471264957296721,0.027452890433401073,0.9926470588235294,
selection,pooled,Combined,extra_trees,9790,1448,"{""clf__n_estimators"": 500, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": null}",0.9969362745098039,0.9862450717479964,0.11195550303577989,0.027772845317205124,0.06437785133624144,0.9411764705882353,
selection,pooled,Combined,adaboost,9790,1448,"{""clf__n_estimators"": 100, ""clf__learning_rate"": 1.0}",0.9999968737494997,0.9999865330747683,0.31590466345382445,0.07701135604671767,0.2661454966754968,0.9963235294117647,
selection,pooled,Combined,grad_boost,9790,1448,"{""clf__n_estimators"": 400, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.03}",0.9999999999999999,0.9999999999999999,0.0024553805224032843,0.0006507012303998494,0.0007111188456695854,1.0,
selection,pooled,Combined,xgb_style_hgb,9790,1448,{},,,,,,,"
All the 9 fits failed.
It is very likely that your model is misconfigured.
You can try to debug the error by setting error_score='raise'.

Below are more details about the failures:
-----------------"
selection,pooled,Combined,knn,9790,1448,"{""clf__weights"": ""distance"", ""clf__n_neighbors"": 15}",0.9894332733093236,0.9587544800823441,0.19420951087654637,0.02512437988635379,0.00961723468706398,0.9117647058823529,
selection,pooled,Combined,gaussian_nb,9790,1448,{},,,,,,,"Sparse data was passed for X, but dense data is required. Use '.toarray()' to convert to a dense numpy array."
selection,pooled,Combined,lda,9790,1448,{},,,,,,,"Sparse data was passed for X, but dense data is required. Use '.toarray()' to convert to a dense numpy array."
