task,league,model_family,reasons
selection,Combined,logreg_l2,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,logreg_l1,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,logreg_elastic,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,linear_svm,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,rbf_svm,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,poly_svm,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,decision_tree,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,random_forest,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,extra_trees,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,adaboost,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,grad_boost,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,xgb_style_hgb,single_feature_auc_extreme
selection,Combined,knn,single_feature_auc_extreme
selection,Combined,gaussian_nb,single_feature_auc_extreme
selection,Combined,lda,single_feature_auc_extreme
selection,Combined,qda,single_feature_auc_extreme
selection,Combined,perceptron,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,mlp,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,xgboost,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,probit_proxy,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,Combined,autoencoder_proxy_mlp,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,logreg_l2,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,logreg_l1,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,logreg_elastic,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,linear_svm,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,rbf_svm,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,poly_svm,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,decision_tree,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,random_forest,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,extra_trees,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,adaboost,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,grad_boost,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,xgb_style_hgb,single_feature_auc_extreme
selection,MBB,knn,single_feature_auc_extreme
selection,MBB,gaussian_nb,single_feature_auc_extreme
selection,MBB,lda,single_feature_auc_extreme
selection,MBB,qda,single_feature_auc_extreme
selection,MBB,perceptron,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,mlp,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,xgboost,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,probit_proxy,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,MBB,autoencoder_proxy_mlp,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,logreg_l2,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,logreg_l1,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,logreg_elastic,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,linear_svm,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,rbf_svm,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,poly_svm,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,decision_tree,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,random_forest,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,extra_trees,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,adaboost,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,grad_boost,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,xgb_style_hgb,single_feature_auc_extreme
selection,WBB,knn,single_feature_auc_extreme
selection,WBB,gaussian_nb,single_feature_auc_extreme
selection,WBB,lda,single_feature_auc_extreme
selection,WBB,qda,single_feature_auc_extreme
selection,WBB,perceptron,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,mlp,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,xgboost,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,probit_proxy,leakage_risk_high_or_critical | single_feature_auc_extreme
selection,WBB,autoencoder_proxy_mlp,leakage_risk_high_or_critical | single_feature_auc_extreme
