team_code,champion_prob,league
None,0.6546666666666666,WBB
SC,0.11133333333333334,WBB
CONN,0.06766666666666667,WBB
ID,0.033666666666666664,WBB
TEX,0.019,WBB
VAND,0.016666666666666666,WBB
BSU,0.015666666666666666,WBB
BOIS,0.013333333333333334,WBB
URI,0.011333333333333334,WBB
FDU,0.009333333333333334,WBB
EKU,0.009333333333333334,WBB
MURR,0.007666666666666666,WBB
ISU,0.007,WBB
TROY,0.0033333333333333335,WBB
TXT,0.0033333333333333335,WBB
UNC,0.003,WBB
OKSU,0.0026666666666666666,WBB
COST,0.002,WBB
RICH,0.0016666666666666668,WBB
GONZ,0.001,WBB
HPU,0.001,WBB
ARST,0.001,WBB
ARMY,0.001,WBB
ECU,0.0006666666666666666,WBB
WV,0.0006666666666666666,WBB
BAY,0.0006666666666666666,WBB
MRSH,0.0003333333333333333,WBB
UK,0.0003333333333333333,WBB
TCU,0.0003333333333333333,WBB
IOWA,0.0003333333333333333,WBB
