task,feature,auc,bubble_auc
bracket,winpct_diff,0.849795229220045,
bracket,ppp_diff,0.7855443833883917,
bracket,elo_diff,0.7525894255036432,
bracket,home_favored,0.6535405783720958,
bracket,pace_diff,0.5728596515184141,
bracket,neutral,0.5383774157780173,
selection,end_elo,0.9999124649859944,1.0
selection,sos_proxy,0.924390068527411,0.9166875156367276
selection,conference_proxy,0.9206573254301721,0.8717788341255942
selection,avg_margin,0.8269276460584234,0.5472854640980735
selection,o_ppp,0.8254114145658263,0.6047035276457343
selection,overall_winpct,0.8071165966386555,0.5520390292719539
selection,conf_winpct,0.8071165966386555,0.5520390292719539
selection,nonconf_winpct,0.8071165966386555,0.5520390292719539
selection,last10_winpct,0.6748011704681872,0.542907180385289
selection,pace,0.5526288640456182,0.5308981736302226
selection,net_rating,0.49914965986394566,0.7285464098073555
selection,d_ppp,0.49914965986394566,0.7285464098073555
