task,league,scheme,split_id,train_seasons,val_seasons,n_train,n_val
selection,MBB,expanding,0,"2008,2009,2010,2011,2012,2013","2014,2015",2063,702
selection,MBB,expanding,1,"2008,2009,2010,2011,2012,2013,2014","2015,2016",2414,702
selection,MBB,expanding,2,"2008,2009,2010,2011,2012,2013,2014,2015","2016,2017",2765,702
selection,MBB,expanding,3,"2008,2009,2010,2011,2012,2013,2014,2015,2016","2017,2018",3116,702
selection,MBB,expanding,4,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017","2018,2019",3467,704
selection,MBB,expanding,5,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2019,2020",3818,706
selection,MBB,expanding,6,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",4171,700
selection,MBB,expanding,7,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",4524,705
selection,MBB,expanding,8,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",4871,721
selection,MBB,expanding,9,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",5229,725
selection,MBB,expanding,10,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",5592,726
selection,MBB,sliding,0,"2008,2009,2010,2011,2012,2013,2014,2015","2016,2017",2765,702
selection,MBB,sliding,1,"2009,2010,2011,2012,2013,2014,2015,2016","2017,2018",2777,702
selection,MBB,sliding,2,"2010,2011,2012,2013,2014,2015,2016,2017","2018,2019",2786,704
selection,MBB,sliding,3,"2011,2012,2013,2014,2015,2016,2017,2018","2019,2020",2792,706
selection,MBB,sliding,4,"2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",2800,700
selection,MBB,sliding,5,"2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",2808,705
selection,MBB,sliding,6,"2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",2808,721
selection,MBB,sliding,7,"2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",2815,725
selection,MBB,sliding,8,"2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",2827,726
selection,WBB,expanding,0,"2012,2013,2014,2015,2016,2017","2018,2019",2087,700
selection,WBB,expanding,1,"2012,2013,2014,2015,2016,2017,2018","2019,2020",2436,702
selection,WBB,expanding,2,"2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",2787,694
selection,WBB,expanding,3,"2012,2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",3138,699
selection,WBB,expanding,4,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",3481,717
selection,WBB,expanding,5,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",3837,721
selection,WBB,expanding,6,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",4198,722
selection,WBB,sliding,0,"2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",2787,694
selection,WBB,sliding,1,"2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",2794,699
selection,WBB,sliding,2,"2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",2792,717
selection,WBB,sliding,3,"2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",2799,721
selection,WBB,sliding,4,"2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",2810,722
selection,Combined,expanding,0,"2008,2009,2010,2011,2012,2013","2014,2015",2752,1401
selection,Combined,expanding,1,"2008,2009,2010,2011,2012,2013,2014","2015,2016",3452,1402
selection,Combined,expanding,2,"2008,2009,2010,2011,2012,2013,2014,2015","2016,2017",4153,1401
selection,Combined,expanding,3,"2008,2009,2010,2011,2012,2013,2014,2015,2016","2017,2018",4854,1400
selection,Combined,expanding,4,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017","2018,2019",5554,1404
selection,Combined,expanding,5,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2019,2020",6254,1408
selection,Combined,expanding,6,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",6958,1394
selection,Combined,expanding,7,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",7662,1404
selection,Combined,expanding,8,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",8352,1438
selection,Combined,expanding,9,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",9066,1446
